INFO:     Started server process [111480]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:5000 (Press CTRL+C to quit)
  [WARN] yt-dlp absent — pip install yt-dlp
  [WARN] ffmpeg absent — transcodage désactivé
INFO:     127.0.0.1:34572 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:34572 - "GET /static/css/main.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:34594 - "GET /static/js/downloader.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:34600 - "GET /static/js/queue.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:34584 - "GET /static/js/api.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:34602 - "GET /static/js/collections.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:34592 - "GET /static/js/player.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:34602 - "GET /static/js/app.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:34602 - "GET /api/downloads HTTP/1.1" 200 OK
INFO:     127.0.0.1:34600 - "GET /api/ytdl/auth/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:34592 - "GET /api/queue HTTP/1.1" 200 OK
INFO:     127.0.0.1:34602 - "GET /api/collections HTTP/1.1" 200 OK
INFO:     127.0.0.1:34572 - "GET /api/history HTTP/1.1" 200 OK
INFO:     127.0.0.1:34572 - "GET /api/intercept/latest HTTP/1.1" 200 OK
INFO:     127.0.0.1:34572 - "GET /api/queue HTTP/1.1" 200 OK
INFO:     127.0.0.1:34572 - "GET /api/intercept/latest HTTP/1.1" 200 OK
INFO:     127.0.0.1:34572 - "GET /api/downloads HTTP/1.1" 200 OK
INFO:     127.0.0.1:34572 - "GET /api/downloads HTTP/1.1" 200 OK
INFO:     127.0.0.1:34572 - "GET /api/history HTTP/1.1" 200 OK
INFO:     127.0.0.1:34572 - "GET /api/intercept/latest HTTP/1.1" 200 OK
INFO:     127.0.0.1:34572 - "GET /api/intercept/latest HTTP/1.1" 200 OK
